route_key,distance_km,duration_min
"1.391688,103.896130|1.364728,103.960098",11.19,16.1
"1.364728,103.960098|1.350946,103.943260",3.99,8.9
"1.391688,103.896130|1.378962,103.937241",7.22,10.9
"1.378962,103.937241|1.333971,103.911585",7.02,15.4
"1.378962,103.937241|1.357355,103.959356",5.14,10.2
"1.391688,103.896130|1.368055,103.955767",10.13,15.0
"1.368055,103.955767|1.330752,103.935600",8.0,13.9
"1.391688,103.896130|1.360323,103.953130",11.01,16.5
"1.360323,103.953130|1.345150,103.958720",2.15,5.3
"1.391688,103.896130|1.398057,103.896899",1.54,4.3
"1.398057,103.896899|1.377882,103.877834",4.62,11.9
"1.391688,103.896130|1.370561,103.854823",6.74,14.1
"1.370561,103.854823|1.445988,103.800048",15.76,24.6
"1.391688,103.896130|1.368778,103.840274",8.56,17.1
"1.368778,103.840274|1.352274,103.872103",5.42,10.9
"1.391688,103.896130|1.336074,103.856580",10.92,19.6
"1.336074,103.856580|1.335773,103.847326",1.54,5.0
"1.391688,103.896130|1.359175,103.846660",9.54,19.8
"1.359175,103.846660|1.396967,103.879439",9.76,18.9
"1.359175,103.846660|1.392550,103.876330",9.37,17.6
"1.391688,103.896130|1.447766,103.832223",15.45,26.2
"1.447766,103.832223|1.436092,103.797167",5.23,11.6
"1.391688,103.896130|1.454882,103.815677",19.42,28.6
"1.454882,103.815677|1.439750,103.800721",3.43,7.8
"1.404278,103.902304|1.364728,103.960098",9.93,15.3
"1.404278,103.902304|1.378962,103.937241",5.96,10.1
"1.404278,103.902304|1.368055,103.955767",8.86,14.2
"1.404278,103.902304|1.360323,103.953130",9.74,15.7
"1.404278,103.902304|1.398057,103.896899",2.27,5.9
"1.404278,103.902304|1.370561,103.854823",8.32,17.2
"1.404278,103.902304|1.368778,103.840274",10.13,20.2
"1.404278,103.902304|1.336074,103.856580",13.87,22.7
"1.404278,103.902304|1.359175,103.846660",11.12,23.0
"1.404278,103.902304|1.447766,103.832223",12.38,26.1
"1.404278,103.902304|1.454882,103.815677",19.59,29.3
"1.424294,103.835696|1.364728,103.960098",20.83,29.0
"1.424294,103.835696|1.378962,103.937241",16.86,23.9
"1.424294,103.835696|1.368055,103.955767",19.76,27.9
"1.424294,103.835696|1.360323,103.953130",20.64,29.4
"1.424294,103.835696|1.398057,103.896899",12.09,19.1
"1.424294,103.835696|1.370561,103.854823",8.12,15.9
"1.424294,103.835696|1.368778,103.840274",8.01,15.6
"1.424294,103.835696|1.336074,103.856580",14.42,22.0
"1.424294,103.835696|1.359175,103.846660",8.99,18.4
"1.424294,103.835696|1.447766,103.832223",3.22,7.2
"1.424294,103.835696|1.454882,103.815677",4.98,10.5
"1.343330,103.944372|1.364728,103.960098",4.8,10.2
"1.343330,103.944372|1.378962,103.937241",5.66,12.2
"1.343330,103.944372|1.368055,103.955767",5.25,10.9
"1.343330,103.944372|1.360323,103.953130",3.39,7.4
"1.343330,103.944372|1.398057,103.896899",10.61,18.4
"1.343330,103.944372|1.370561,103.854823",16.71,24.2
"1.343330,103.944372|1.368778,103.840274",16.89,25.4
"1.343330,103.944372|1.336074,103.856580",13.05,19.0
"1.343330,103.944372|1.359175,103.846660",16.36,25.4
"1.343330,103.944372|1.447766,103.832223",24.63,38.8
"1.343330,103.944372|1.454882,103.815677",28.61,41.2
"1.345150,103.958720|1.364728,103.960098",3.57,8.0
"1.345150,103.958720|1.378962,103.937241",7.04,12.3
"1.345150,103.958720|1.368055,103.955767",4.03,8.7
"1.345150,103.958720|1.360323,103.953130",2.17,5.2
"1.345150,103.958720|1.398057,103.896899",11.16,17.3
"1.345150,103.958720|1.370561,103.854823",18.39,24.4
"1.345150,103.958720|1.368778,103.840274",18.57,25.6
"1.345150,103.958720|1.336074,103.856580",14.73,19.2
"1.345150,103.958720|1.359175,103.846660",18.04,25.6
"1.345150,103.958720|1.447766,103.832223",25.19,37.6
"1.345150,103.958720|1.454882,103.815677",29.16,40.0
"1.377882,103.877834|1.364728,103.960098",13.87,23.0
"1.377882,103.877834|1.378962,103.937241",9.9,17.9
"1.377882,103.877834|1.368055,103.955767",12.8,21.9
"1.377882,103.877834|1.398057,103.896899",4.22,11.2
"1.377882,103.877834|1.370561,103.854823",4.3,10.5
"1.377882,103.877834|1.368778,103.840274",5.47,12.5
"1.377882,103.877834|1.336074,103.856580",6.87,15.1
"1.377882,103.877834|1.359175,103.846660",6.43,15.3
"1.377882,103.877834|1.447766,103.832223",12.85,27.8
"1.377882,103.877834|1.454882,103.815677",19.05,30.8
"1.350946,103.943260|1.364728,103.960098",3.97,8.9
"1.350946,103.943260|1.378962,103.937241",4.62,9.8
"1.350946,103.943260|1.368055,103.955767",4.43,9.5
"1.350946,103.943260|1.398057,103.896899",9.57,16.0
"1.350946,103.943260|1.370561,103.854823",17.6,26.1
"1.350946,103.943260|1.368778,103.840274",17.78,27.2
"1.350946,103.943260|1.336074,103.856580",13.94,20.9
"1.350946,103.943260|1.359175,103.846660",17.25,27.3
"1.350946,103.943260|1.447766,103.832223",23.59,36.3
"1.350946,103.943260|1.454882,103.815677",27.57,38.8
"1.439750,103.800721|1.378962,103.937241",21.85,29.1
